host_id,latitude,longitude,room_type,price,number_of_reviews,review_scores_value,neighbourhood
50199143,42.31753771012777,-71.10845721836117,2,6,15,9.0,12
67325902,42.30683414172092,-71.11331230827805,1,145,7,10.0,12
47588894,42.30720226358175,-71.11958890231001,2,8,1,10.0,12
18190121,42.31961968865941,-71.10482911031056,1,114,127,10.0,12
45402419,42.31026209376064,-71.11257439993145,2,17,2,8.0,12
2727109,42.3185688067565,-71.11415408323548,1,24,108,9.0,12
1106261,42.31012523517613,-71.1028771953959,1,15,5,8.0,12
4595799,42.30950229933045,-71.11675448454866,2,69,11,10.0,12
3817361,42.30376309732182,-71.11400262506409,2,8,18,9.0,12
3920014,42.31343053763309,-71.10571836582744,2,85,62,9.0,12
869131,42.308948421885546,-71.11416180689504,2,75,58,9.0,12
3900945,42.30639602252362,-71.10593528533563,1,15,1,8.0,12
16337422,42.31551268554925,-71.10157722722016,2,7,2,8.0,12
6391436,42.30932885567064,-71.1176428044509,2,8,97,10.0,12
6807512,42.31097645315618,-71.10416185751671,1,225,0,0.0,12
3129367,42.31686601781734,-71.10254447357467,1,225,8,10.0,12
6668129,42.3247317393277,-71.10791787889553,1,178,2,9.0,12
52989144,42.31308411868998,-71.10511677573426,1,175,13,9.0,12
48936696,42.309181962717766,-71.1104931014882,1,19,16,10.0,12
635157,42.29715507703391,-71.11190355685282,1,383,20,9.0,12
26023138,42.31951089873444,-71.11460121899208,2,9,0,0.0,12
557469,42.32243105263224,-71.11326557693921,1,99,23,10.0,12
51236938,42.30337106614937,-71.11500731218838,2,5,9,9.0,12
29531596,42.32436433918023,-71.10262149236247,1,3,16,9.0,12
869131,42.308816078841446,-71.11392840097396,1,184,0,0.0,12
113091,42.31846334578227,-71.10792704855353,2,8,107,9.0,12
236790,42.309838352752514,-71.10752400155785,2,85,26,10.0,12
15172911,42.31190936590773,-71.10675529422124,1,15,10,10.0,12
5215706,42.31552925725239,-71.10240299583324,1,1,1,10.0,12
27112758,42.32186357179841,-71.10374748421248,2,1,8,9.0,12
2810446,42.29858047244345,-71.11026724947551,2,84,31,10.0,12
31655122,42.31627330224815,-71.10215681045173,1,13,32,10.0,12
22249835,42.31614912702236,-71.10503627122522,2,76,84,10.0,12
5965548,42.31218842736296,-71.10566184357903,2,1,1,10.0,12
12164071,42.31342150080405,-71.10711860330036,2,7,7,10.0,12
4147257,42.3113139741088,-71.1161706912694,1,125,18,9.0,12
14743729,42.30557707947495,-71.11367642052262,2,7,6,10.0,12
30490577,42.316052291214056,-71.09932133876652,2,75,0,0.0,12
13897255,42.30637132044274,-71.11350717401692,1,17,9,9.0,12
174986,42.31509938985096,-71.11107897137123,2,95,55,10.0,12
4852286,42.30649689949284,-71.1116203010471,2,7,10,10.0,12
32750893,42.319226619133296,-71.10886890206302,1,299,0,0.0,12
2753598,42.30361487406617,-71.12921449284401,2,7,0,0.0,12
79575198,42.31179031925349,-71.12132702991566,1,155,0,0.0,12
36278389,42.32133486634611,-71.1077732004827,1,25,1,10.0,12
1624549,42.30073404413557,-71.11431096653907,2,115,49,10.0,12
1713739,42.28965254884459,-71.1147207903471,2,7,145,9.0,12
1713739,42.28825811306717,-71.11306691796358,1,135,68,9.0,12
5028116,42.31214691602426,-71.10890828395573,2,12,5,10.0,12
16379445,42.31303259057599,-71.11202440937613,1,13,12,10.0,12
55958506,42.32152083648081,-71.10741009190527,2,29,5,10.0,12
48876489,42.30450198413657,-71.11147205236121,2,68,9,9.0,12
3130698,42.31968702097964,-71.11296924688942,1,3,9,10.0,12
12164071,42.3126182454674,-71.10620541691137,2,5,22,10.0,12
50464388,42.312465870465495,-71.10751981004609,1,119,2,10.0,12
30099169,42.29050283678629,-71.11642163691592,2,46,31,8.0,12
70542233,42.316423406732014,-71.105027092965,1,295,0,0.0,12
9240847,42.32274731213835,-71.11033370632222,1,13,19,8.0,12
1633163,42.3127790883538,-71.10974082171327,1,18,7,10.0,12
1264857,42.3110232774222,-71.11899338510045,1,3,0,0.0,12
28975718,42.303545288802894,-71.10589216211304,1,2,0,0.0,12
38015635,42.31576895997632,-71.11289367391335,1,136,26,9.0,12
69873384,42.30401959211494,-71.10493709465034,1,1,5,9.0,12
18190121,42.31779832815028,-71.10403440260586,2,88,48,10.0,12
24593919,42.32411923510956,-71.10669945356153,2,95,15,10.0,12
3581975,42.30957367789852,-71.10629240857683,1,135,1,8.0,12
21299112,42.30236440084767,-71.11490982290199,1,135,104,10.0,12
2127414,42.31167890935931,-71.10613378330365,2,75,63,10.0,12
35411494,42.31778979561365,-71.1048969299189,1,189,25,10.0,12
24337472,42.30509465867193,-71.11347197529106,2,75,41,10.0,12
2182717,42.30979783758637,-71.10174213111895,2,55,15,10.0,12
11487565,42.30514212999488,-71.10732685642546,2,125,10,8.0,12
18807469,42.29982377922978,-71.1125721982785,2,88,184,9.0,12
16052189,42.31408312040112,-71.09973816777216,2,72,1,10.0,12
22475241,42.30731115456584,-71.1033973053676,3,22,1,8.0,12
15399126,42.29098869791823,-71.11273710117392,2,9,12,10.0,12
22217451,42.311582429734166,-71.11170822620524,2,15,0,0.0,12
5325924,42.30866054389428,-71.10156432201525,2,82,42,9.0,12
49565531,42.32137450834045,-71.10605960468904,2,84,10,10.0,12
4743011,42.30516878181586,-71.11290752873131,1,16,22,9.0,12
29925050,42.32002043052011,-71.10459796160309,1,11,1,10.0,12
15637560,42.30694320005583,-71.1140157501951,1,15,29,10.0,12
89230454,42.29366807552507,-71.1178941365324,2,8,1,10.0,12
3129367,42.31881358606432,-71.10321896739352,1,225,5,10.0,12
6570954,42.30601750771409,-71.10953838978847,2,65,60,9.0,12
4210157,42.31885964759071,-71.11451513447908,1,275,57,9.0,12
1414385,42.3116187482491,-71.10910186178728,1,3,5,10.0,12
2753598,42.30189019343637,-71.12908357888134,1,185,4,10.0,12
1827998,42.319474233279415,-71.10981262493168,1,175,7,9.0,12
29890732,42.311875232278126,-71.10988285778794,1,175,0,0.0,12
1480518,42.295528067996926,-71.11929019439627,2,75,173,10.0,12
2139546,42.30963228969752,-71.11621848265172,2,6,88,9.0,12
12164071,42.31321247727448,-71.10808727743614,1,1,1,10.0,12
49453306,42.32139006767074,-71.10885209574057,2,75,1,10.0,12
20912254,42.31653898569717,-71.10431839665927,1,94,61,9.0,12
17917160,42.311233697106125,-71.10343442689604,2,85,19,10.0,12
27756951,42.30512600898364,-71.11423327902818,2,83,13,10.0,12
4595799,42.31039502223525,-71.11838026420133,2,75,22,9.0,12
9622924,42.30829329002923,-71.12399111717572,1,168,74,9.0,12
1480518,42.2944421487644,-71.1199453778794,2,6,280,10.0,12
965697,42.31747805970026,-71.10819474341311,1,135,152,9.0,12
197327,42.31299708548862,-71.10930512483853,2,119,15,9.0,12
70542233,42.31633720566908,-71.1028559173715,1,275,0,0.0,12
3381271,42.288018458904695,-71.11367910852672,1,13,28,10.0,12
333220,42.31171248730058,-71.11818368689809,1,75,1,10.0,12
25938192,42.3179889417716,-71.10988164747111,1,16,0,0.0,12
49640474,42.3244321773282,-71.1078903320761,2,65,17,10.0,12
79575198,42.31089357638447,-71.12243916028487,2,77,3,9.0,12
2053557,42.31713375085383,-71.10965966211438,2,71,198,10.0,12
39964775,42.30469508940489,-71.10730425423374,1,2,1,10.0,12
18589253,42.3234373963823,-71.1139753696747,2,55,5,10.0,12
39949128,42.3219193625954,-71.1104717880297,2,95,1,0.0,12
12083797,42.30931242458195,-71.11711989439625,1,22,55,9.0,12
52169456,42.30089711317004,-71.1119677817735,2,54,0,0.0,12
847177,42.30778740249572,-71.11077966593278,2,72,5,9.0,12
62697851,42.30598912781584,-71.10334861115408,2,7,5,10.0,12
8814724,42.31337882617406,-71.11718908596617,1,135,92,10.0,12
9155267,42.3140633182779,-71.10544008279768,1,3,3,10.0,12
548184,42.3154779458348,-71.09929421406315,2,11,68,10.0,12
79575198,42.312540826270975,-71.1224634974153,2,7,5,10.0,12
3945438,42.30640988856899,-71.11151038708401,2,75,34,10.0,12
10524003,42.32512115569664,-71.1129246517974,2,7,4,9.0,12
120731,42.31772906096269,-71.10019198504713,2,88,0,0.0,12
987917,42.31437713321706,-71.09951455896663,1,48,19,9.0,12
2796082,42.3058133625616,-71.11259651201156,1,55,49,9.0,12
1487352,42.30503422150767,-71.10333144398088,1,18,32,10.0,12
5988470,42.3088979675554,-71.11868977322706,1,325,8,10.0,12
91197438,42.319781166585685,-71.1046702228502,2,65,0,0.0,12
8573721,42.30826236397657,-71.11065976620097,1,29,8,9.0,12
1693497,42.29128816246878,-71.11396006312367,1,159,41,9.0,12
1956464,42.30920004254448,-71.11836465855009,2,2,16,10.0,12
45771009,42.31569391094086,-71.10620874832169,2,95,80,10.0,12
47908069,42.320020355969945,-71.10745884916732,1,65,18,8.0,12
23916912,42.32489127959378,-71.11446553563087,1,99,9,10.0,12
6391436,42.30776797241471,-71.11625789047194,2,93,97,10.0,12
13271600,42.30703672295021,-71.10336802125957,1,5,6,10.0,12
7419610,42.31008194151472,-71.11967770213874,1,295,8,8.0,12
4705050,42.31359160558561,-71.12262104873192,1,45,28,10.0,12
449295,42.311531156866266,-71.09896775692143,1,15,5,10.0,12
7302835,42.32498596629097,-71.10549496200198,1,95,0,0.0,12
3245213,42.30725435749261,-71.11424733591423,1,15,18,10.0,12
21644095,42.318501214026405,-71.11451133583604,1,399,12,10.0,12
50199143,42.31784765117375,-71.107205565175,2,71,19,10.0,12
65660258,42.30466018864578,-71.1088925116655,1,5,0,0.0,12
197327,42.31257952456626,-71.10784329213908,2,7,8,9.0,12
65660258,42.306172286643054,-71.10670344232828,2,125,0,0.0,12
46926631,42.31373707651746,-71.1163369940704,2,85,23,10.0,12
22249835,42.31730040217494,-71.10491020774178,2,61,33,10.0,12
5028116,42.31263931729841,-71.10927886274365,1,25,3,9.0,12
19280995,42.31161781831933,-71.10385272556012,2,56,4,10.0,12
5539314,42.32173185468714,-71.11186967797744,3,2,3,8.0,12
72882793,42.30595038846474,-71.10489325104669,1,22,14,9.0,12
30490577,42.31795476761437,-71.10020425725071,2,8,1,10.0,12
14303759,42.32141474891377,-71.10676417176671,2,6,8,9.0,12
12150111,42.31143796365995,-71.11864462353653,2,125,63,10.0,12
4442258,42.32123276979549,-71.11568853186063,1,5,0,0.0,12
47251069,42.312220034691656,-71.1171256858825,1,149,1,10.0,12
18896448,42.32136495142019,-71.11323105918619,2,65,3,10.0,12
39290576,42.31446165291016,-71.11391762627706,1,99,7,9.0,12
6703626,42.31858053839557,-71.1067800194245,2,67,4,9.0,12
11725202,42.31967562232483,-71.10497281246552,1,18,1,10.0,12
3310704,42.31403581506652,-71.10777892603964,1,17,7,10.0,12
314576,42.3108619368228,-71.09922327493409,1,115,7,10.0,12
4913318,42.311758624583184,-71.11183648946215,1,235,0,0.0,12
35411494,42.31857757095519,-71.10627779729171,2,89,53,9.0,12
40108777,42.29731100517576,-71.11120263227764,2,11,29,9.0,12
17763937,42.3090627462778,-71.11435439589225,2,84,23,9.0,12
65660258,42.30624803195792,-71.10890836726516,2,125,0,0.0,12
449295,42.30947824832074,-71.09930721341063,1,13,0,0.0,12
11332246,42.29661804078575,-71.11369880978881,2,65,1,8.0,12
20912254,42.31516062399716,-71.10606960864865,2,86,44,10.0,12
2646681,42.31161779138293,-71.10492935003708,1,75,1,10.0,12
884747,42.30956049227253,-71.10342180495736,1,255,6,9.0,12
965697,42.31732134712932,-71.1083382470032,1,145,230,10.0,12
55571157,42.31589870622909,-71.10745634054862,1,199,3,10.0,12
884747,42.310008938431984,-71.10176364947394,2,91,179,9.0,12
19280995,42.31314950919129,-71.10478823264899,2,81,13,9.0,12
14303759,42.32161990846114,-71.10550967539857,2,6,94,10.0,12
11725202,42.3177858597241,-71.10513643573292,2,99,122,10.0,12
18807469,42.29847143523319,-71.11065808536799,2,88,115,10.0,12
36238599,42.30814198704933,-71.11793665454908,1,225,7,10.0,12
41999943,42.29244337732441,-71.11790285740781,2,5,2,7.0,12
11722054,42.31121241933621,-71.11191178759881,1,225,2,10.0,12
72132089,42.29856686925674,-71.11239521627074,2,48,12,10.0,12
16736927,42.311581941500414,-71.10412648796216,1,37,0,0.0,12
6391436,42.308851900338496,-71.11643175971686,2,85,119,10.0,12
228845,42.3155761411289,-71.1130574529959,1,525,7,7.0,12
14140959,42.319239160320095,-71.10624048636811,2,1,5,10.0,12
13372537,42.32451388795766,-71.10540620416036,2,75,94,10.0,12
47482159,42.29870858282949,-71.11250952324193,2,25,2,8.0,12
1697505,42.30841063964904,-71.1013204329874,2,5,12,10.0,12
19280995,42.31263001686568,-71.10439934389252,2,49,23,9.0,12
45771009,42.31721558278527,-71.1079661278404,2,125,0,0.0,12
5454238,42.31968622416286,-71.11205826620998,1,18,0,0.0,12
14303759,42.32134118362715,-71.10588595618334,2,6,11,10.0,12
11487565,42.30596576341033,-71.1087761022673,2,85,14,8.0,12
4610847,42.31021302681578,-71.10143683020078,2,85,62,9.0,12
49787594,42.31378359100291,-71.11505147881796,2,64,21,10.0,12
228845,42.31591115539129,-71.11275691200883,1,725,15,9.0,12
2810446,42.29958778769348,-71.11178023080245,2,75,41,10.0,12
16375951,42.29816032662961,-71.11153003037721,1,119,2,9.0,12
8829183,42.3078157837662,-71.11674523568081,1,11,23,9.0,12
45402419,42.3106308513631,-71.1118435456616,1,179,15,8.0,12
1263583,42.31005424705419,-71.10711518817013,1,175,2,9.0,12
5115759,42.31643683590324,-71.10342311812423,1,125,67,9.0,12
2238969,42.30692771656086,-71.107893860945,1,22,17,9.0,12
25188,42.33285419276235,-71.10123471727375,1,299,0,0.0,16
25188,42.3352960343266,-71.10146236865883,1,249,0,0.0,16
62644786,42.32790891088525,-71.10270494704687,1,115,0,0.0,16
18202088,42.33376385933934,-71.10079693531384,1,239,4,10.0,16
37826100,42.33155444871214,-71.0962878721131,2,75,5,8.0,16
962698,42.32777505016166,-71.09882993741036,2,3,2,10.0,16
70552156,42.3324298068691,-71.1012871241284,2,45,1,10.0,16
7673571,42.33220056975924,-71.10172331046074,2,16,13,8.0,16
17547008,42.32857987397952,-71.09805472661651,2,62,0,0.0,16
70196711,42.33242122223453,-71.10732196401753,2,872,0,0.0,16
66462220,42.33289333349645,-71.10862041259495,2,55,3,9.0,16
19480579,42.3319733792552,-71.10813059587208,2,79,28,9.0,16
41486164,42.33072487183699,-71.10446641759258,2,6,2,0.0,16
25327613,42.33004817902593,-71.09852689772487,2,79,5,9.0,16
1532353,42.32895904822996,-71.10728436668576,2,75,0,0.0,16
324630,42.33215157576381,-71.10674178342134,1,75,404,8.0,16
59163294,42.3297708947072,-71.10300214644863,2,3,0,0.0,16
63525,42.330646683297886,-71.10584251856362,2,15,23,9.0,16
64704565,42.33080096008549,-71.09900782939916,3,27,1,0.0,16
224090,42.3288669969322,-71.10974475055329,2,85,34,10.0,16
522072,42.33317899447556,-71.10249896276378,2,11,8,9.0,16
25188,42.33258806838985,-71.10068445938674,1,199,1,8.0,16
78198042,42.33230551431416,-71.10073194830291,2,45,1,8.0,16
